Id,Received_Amount__c
a0FHp00000zxormMAA,29262.2
a0FHp00000zxornMAA,29262.2
a0FHp00000zxoroMAA,
a0FHp00000zxorpMAA,
a0FHp00000zxorqMAA,
a0FHp00000zxorrMAA,
a0FHp00000zxorsMAA,
a0FHp00000zxortMAA,29256.12
a0FHp00000zxoruMAA,29235.07
a0FHp00000zxorvMAA,29262.2
a0FHp00000zxorwMAA,29235.07
a0FHp00000zxorxMAA,29262.2
a0FHp00000zxoryMAA,29262.2
a0FHp00000zxorzMAA,
a0FHp00000zxos0MAA,
a0FHp00000zxos1MAA,
a0FHp00000zxos2MAA,29262.2
a0FHp00000zxos3MAA,175573.2
a0FHp00000zxos4MAA,29262.2
a0FHp00000zxos5MAA,29262.2
a0FHp00000zxos6MAA,29262.2
a0FHp00000zxos7MAA,
a0FHp00000zxos8MAA,
a0FHp00000zxos9MAA,
a0FHp00000zxosAMAQ,
a0FHp00000zxosBMAQ,
a0FHp00000zxosCMAQ,
a0FHp00000zxosDMAQ,
a0FHp00000zxosEMAQ,
a0FHp00000zxosFMAQ,14631.1
a0FHp00000zxosGMAQ,
a0FHp00000zxosHMAQ,
a0FHp00000zxosIMAQ,
a0FHp00000zxosJMAQ,
a0FHp00000zxosKMAQ,
a0FHp00000zxosLMAQ,
a0FHp00000zxosMMAQ,29253.31
a0FHp00000zxosNMAQ,
a0FHp00000zxosOMAQ,
a0FHp00000zxosPMAQ,29262.2
a0FHp00000zxosQMAQ,29235.07
a0FHp00000zxosRMAQ,14630.9
a0FHp00000zxosSMAQ,
a0FHp00000zxosTMAQ,
a0FHp00000zxosUMAQ,
a0FHp00000zxosVMAQ,
a0FHp00000zxosWMAQ,
a0FHp00000zxosXMAQ,
a0FHp00000zxosYMAQ,146311
a0FHp00000zxosZMAQ,29262.2
a0FHp00000zxosaMAA,29253.31
a0FHp00000zxosbMAA,29262
a0FHp00000zxoscMAA,
a0FHp00000zxosdMAA,
a0FHp00000zxoseMAA,
a0FHp00000zxosfMAA,
a0FHp00000zy6qDMAQ,29987
a0FHp00000zy6qEMAQ,29986.52
a0FHp00000zy6qFMAQ,29986.52
a0FHp00000zy6qGMAQ,29987
a0FHp00000zy6qHMAQ,29986.52
a0FHp00000zy6qIMAQ,29987
a0FHp00000zy6qJMAQ,29986.52
a0FHp00000zy6qKMAQ,29986.52
a0FHp00000zy6qLMAQ,29986.52
a0FHp00000zy6qMMAQ,29986.52
a0FHp00000zy6qNMAQ,29986.52
a0FHp00000zy6qOMAQ,29986.52
a0FHp00000zy6qPMAQ,29986.52
a0FHp00000zy6qQMAQ,29986.52
a0FHp00000zy6qRMAQ,29986.52
a0FHp00000zy6qSMAQ,29986.52
