Id,Invoice_Number__c,Paid_Amount__c,Status__c
a0xRg00000AFayIIAT,INV-TRD2-2,38410,Fully Paid
a0xRg00000AFbSxIAL,INV-TRD2-4,176300,Fully Paid
a0xRg00000AFcNNIA1,INV-TRD2-3,,Fully Paid
a0xRg00000AFcOzIAL,INV-TRD2-5,179400,Fully Paid
a0xRg00000AFcVRIA1,INV-TRD2-6,106205,Fully Paid
a0xRg00000AHWwzIAH,INV-TRD2-7,123708,Fully Paid
a0xRg00000AHWybIAH,INV-TRD2-8,86112.5,Fully Paid
a0xRg00000AHXkzIAH,INV-TRD2-9,119883.4,Fully Paid
a0xRg00000AHZMzIAP,INV-BTL-1,5610750,Fully Paid
a0xRg00000AHZTRIA5,INV-BTL-2,2336500,Fully Paid
a0xRg00000AHZYHIA5,INV-BTL-3,2336500,Fully Paid
a0xRg00000AHc4jIAD,INV-TRD2-10,416990.5,Partially Paid
a0xRg00000AHckfIAD,INV-TRD2-11,416990.5,Partially Paid
a0xRg00000AHcntIAD,INV-TRD2-12,424904,Partially Paid
a0xRg00000AHeT8IAL,INV-TRD2-13,101178,Fully Paid
a0xRg00000AHmk2IAD,INV-TRD2-14,560200,Partially Paid
a0xRg00000AJGg1IAH,INV-TRD2-15,223181.4,Partially Paid
a0xRg00000AJGphIAH,INV-TRD-1,161499.4,Fully Paid
a0xRg00000AKCdaIAH,INV-TRD2-16,157165.4,Fully Paid
a0xRg00000AKDeTIAX,INV-TRD-2,132350,Fully Paid
a0xRg00000AKDg5IAH,INV-TRD-3,484499,Fully Paid
a0xRg00000AKEZ1IAP,INV-TRD2-17,297221.12,Fully Paid
a0xRg00000AKF3ZIAX,INV-TRD2-18,210050.8,Fully Paid
a0xRg00000AKG9JIAX,INV-TRD2-19,452985,Fully Paid
a0xRg00000AKGNpIAP,INV-TRD2-20,466011,Partially Paid
a0xRg00000AKGPRIA5,INV-TRD2-21,117691.7,Fully Paid
a0xRg00000AKGakIAH,INV-TRD2-23,450144,Fully Paid
a0xRg00000AKMjOIAX,INV-TRD2-28,201413.52,Fully Paid
a0xRg00000AKNdsIAH,INV-TRD2-22,445540,Fully Paid
a0xRg00000AKS2QIAX,INV-TRD2-25,389623.12,Fully Paid
a0xRg00000AKSbtIAH,INV-TRD2-24,454548,Fully Paid
a0xRg00000AKTGDIA5,INV-TRD2-26,384966.6,Fully Paid
a0xRg00000AKTjGIAX,INV-TRD2-27,283607,Fully Paid
a0xRg00000AKX5JIAX,INV-TRD2-29,37133.04,Fully Paid
a0xRg00000AKaUiIAL,INV-TRD2-30,155624.84,Fully Paid
a0xRg00000AKbgoIAD,INV-TRD2-31,151707,Fully Paid
a0xRg00000AKdxBIAT,INV-TRD2-32,3150,Fully Paid
a0xRg00000AMsonIAD,INV-TRD2-33,148760.08,Fully Paid
a0xRg00000AMyKyIAL,INV-TRD2-34,125883.5,Partially Paid
a0xRg00000AN5r6IAD,INV-TRD2-35,127086.82,Fully Paid
a0xRg00000AN9xwIAD,INV-TRD2-36,128290.12,Fully Paid
a0xRg00000ANAFuIAP,INV-TRD2-38,248007.52,Partially Paid
a0xRg00000ANGWDIA5,INV-TRD2-37,130941.02,Fully Paid
a0xRg00000ANYb9IAH,INV-TRD2-39,5107.2,Cancelled
a0xRg00000APaXBIA1,INV-BTL-4,8951000,Fully Paid
a0xRg00000APac1IAD,INV-BTL-5,10405950,Fully Paid
a0xRg00000APb8HIAT,INV-BTL-6,8743000,Fully Paid
a0xRg00000APbEjIAL,INV-BTL-7,10802000,Fully Paid
a0xRg00000APbwHIAT,INV-BTL-8,9094150,Fully Paid
a0xRg00000APcXNIA1,INV-TRD2-40,116466,Fully Paid
a0xRg00000APcYzIAL,INV-TRD2-41,119305.04,Partially Paid
a0xRg00000APcabIAD,INV-TRD2-42,115467.52,Fully Paid
a0xRg00000APcacIAD,INV-TRD2-44,118804.2,Fully Paid
a0xRg00000APccDIAT,INV-TRD2-43,116556.18,Partially Paid
a0xRg00000APfNFIA1,INV-TRD2-46,34923,Fully Paid
a0xRg00000APoPDIA1,INV-TRD2-50,82953.6,Partially Paid
a0xRg00000APq11IAD,INV-TRD2-48,81749.2,Fully Paid
a0xRg00000APrEwIAL,INV-TRD2-49,82609.8,Fully Paid
a0xRg00000APsPIIA1,INV-TRD2-45,79432.5,Fully Paid
a0xRg00000APsdnIAD,INV-TRD2-47,80226.8,Fully Paid
a0xRg00000APt6vIAD,INV-TRD2-52,21061.4,Fully Paid
a0xRg00000APxljIAD,INV-TRD2-53,452090.5,Fully Paid
a0xRg00000AQ5O7IAL,INV-TRD2-51,89557,Fully Paid
a0xRg00000ARn0UIAT,INV-TRD-6,29802.46,Fully Paid
a0xRg00000ARn6vIAD,INV-TRD2-54,85797,Fully Paid
a0xRg00000ARn8XIAT,INV-TRD2-55,37469,Fully Paid
a0xRg00000ARnEzIAL,INV-TRD2-56,92578.2,Fully Paid
a0xRg00000ARnGbIAL,INV-TRD2-57,21665.64,Fully Paid
a0xRg00000ARnJpIAL,INV-TRD2-58,88478,Fully Paid
a0xRg00000ARnLRIA1,INV-TRD2-59,20845.6,Fully Paid
a0xRg00000ARnOfIAL,INV-TRD2-60,88695.8,Fully Paid
a0xRg00000ARnQHIA1,INV-TRD2-61,20829.1,Partially Paid
a0xRg00000ARnRtIAL,INV-TRD2-62,87627.2,Fully Paid
a0xRg00000ARnTVIA1,INV-TRD2-63,20675.44,Fully Paid
a0xRg00000ARnlFIAT,INV-TRD-4,62754.92,Fully Paid
a0xRg00000ARnmwIAD,INV-TRD-9,29802.46,Fully Paid
a0xRg00000ARnoTIAT,INV-TRD-5,149012.3,Fully Paid
a0xRg00000ARny9IAD,INV-TRD-7,149012.3,Fully Paid
a0xRg00000ARo6DIAT,INV-TRD-8,29802.46,Fully Paid
a0xRg00000ARoNxIAL,INV-TRD-10,29802.46,Fully Paid
a0xRg00000ARoRBIA1,INV-TRD-11,29802.46,Fully Paid
a0xRg00000ARoZFIA1,INV-TRD-12,29802.46,Fully Paid
a0xRg00000ARohJIAT,INV-TRD-13,29802.46,Fully Paid
a0xRg00000ARqrBIAT,INV-BTL-9,5605652.4,Fully Paid
a0xRg00000ARqw1IAD,INV-BTL-10,6946740.25,Partially Paid
a0xRg00000AS2M6IAL,INV-TRD2-64,862368,Fully Paid
a0xRg00000AS7iLIAT,INV-TRD2-65,21233.62,Partially Paid
a0xRg00000AU3yoIAD,INV-TRD-16,345819.7,Partially Paid
a0xRg00000AU48TIAT,INV-TRD-14,487267.58,Partially Paid
a0xRg00000AU4A5IAL,INV-TRD-15,345820,Partially Paid
a0xRg00000AU4BhIAL,INV-TRD-17,69123.94,Partially Paid
a0xRg00000AU4DJIA1,INV-TRD-18,69123.94,Partially Paid
a0xRg00000AU4DLIA1,INV-TRD-28,30875.76,Fully Paid
a0xRg00000AU4EvIAL,INV-TRD-19,69123.94,Partially Paid
a0xRg00000AU4GXIA1,INV-TRD-20,69124,Partially Paid
a0xRg00000AU4JlIAL,INV-TRD-21,69134,Partially Paid
a0xRg00000AU4LNIA1,INV-TRD-22,69174,Fully Paid
a0xRg00000AU4MzIAL,INV-TRD-23,69123.94,Partially Paid
a0xRg00000AU4oRIAT,INV-TRD-39,30875.76,Fully Paid
a0xRg00000AU62DIAT,INV-TRD-24,64901.52,Fully Paid
a0xRg00000AU6AHIA1,INV-TRD-25,154378,Partially Paid
a0xRg00000AU6S2IAL,INV-TRD-32,30875.76,Fully Paid
a0xRg00000AU6YTIA1,INV-TRD-26,154378.8,Fully Paid
a0xRg00000AU6evIAD,INV-TRD-27,30875.76,Fully Paid
a0xRg00000AU6gXIAT,INV-TRD-29,30875.76,Fully Paid
a0xRg00000AU6i9IAD,INV-TRD-30,30875.76,Fully Paid
a0xRg00000AU6jlIAD,INV-TRD-31,30875.76,Fully Paid
a0xRg00000AU6lNIAT,INV-TRD-33,30875.76,Fully Paid
a0xRg00000AU6mzIAD,INV-TRD-34,30875.76,Fully Paid
a0xRg00000AU6obIAD,INV-TRD-35,30875.76,Fully Paid
a0xRg00000AU6qDIAT,INV-TRD-36,30875.76,Fully Paid
a0xRg00000AU6rpIAD,INV-TRD-37,30875.76,Fully Paid
a0xRg00000AU6tRIAT,INV-TRD-38,30875.76,Fully Paid
a0xRg00000AUSvcIAH,INV-TRD2-67,,Cancelled
a0xRg00000AUY6XIAX,INV-TRD2-66,74000,Cancelled
a0xRg00000AUYCzIAP,INV-TRD2-68,,Cancelled
a0xRg00000AW5EvIAL,INV-TRD-40,61381.81,Fully Paid
a0xRg00000AW5GXIA1,INV-TRD-41,145579.53,Fully Paid
a0xRg00000AWQ9xIAH,INV-TRD-118,44727.9,Fully Paid
a0xRg00000AWR0wIAH,INV-TRD-84,27650.98,Fully Paid
a0xRg00000AWXW9IAP,INV-TRD-42,207985.4,Fully Paid
a0xRg00000AWXWAIA5,INV-TRD-47,29275.14,Fully Paid
a0xRg00000AWXWBIA5,INV-TRD-48,29275.14,Fully Paid
a0xRg00000AWXXlIAP,INV-TRD-43,175736.09,Fully Paid
a0xRg00000AWXZNIA5,INV-TRD-44,29246.93,Partially Paid
a0xRg00000AWXazIAH,INV-TRD-45,29640.44,Fully Paid
a0xRg00000AWXcbIAH,INV-TRD-46,29275.14,Fully Paid
a0xRg00000AWXeDIAX,INV-TRD-49,29275.14,Fully Paid
a0xRg00000AWXfpIAH,INV-TRD-50,29275.14,Fully Paid
