Id,Cumulative_Paid_Amount__c
a0YRg00000OYDWVMA5,
a0YRg00000OYMZmMAP,
a0YRg00000OYa3FMAT,
a0YRg00000ObP6WMAV,
a0YRg00000ObVS1MAN,
a0YRg00000ObXCDMA3,37000
a0YRg00000Obj1yMAB,85631
a0YRg00000ObkW0MAJ,
a0YRg00000ObkkaMAB,
a0YRg00000OboHpMAJ,
a0YRg00000ObrxDMAR,
a0YRg00000ObwliMAB,
a0YRg00000ObwljMAB,
a0YRg00000OeZvhMAF,
a0YRg00000Ogwt1MAB,37000
a0YRg00000OgwxpMAB,220031.4
a0YRg00000OgzPSMAZ,40000
a0YRg00000Ogzz1MAB,16600
a0YRg00000Ogzz2MAB,20000
a0YRg00000Oh0a1MAB,297221.12
a0YRg00000Oh4tqMAB,37000
a0YRg00000Oh5JaMAJ,474255
a0YRg00000Oh5RjMAJ,36600
a0YRg00000Oh9WtMAJ,466011
a0YRg00000OhAfwMAF,37000
a0YRg00000OhCD2MAN,20000
a0YRg00000OhCD3MAN,16600
a0YRg00000OhDvVMAV,450144
a0YRg00000OhEWaMAN,389623.12
a0YRg00000OhEzaMAF,118292
a0YRg00000OhF7jMAF,384966.6
a0YRg00000OhGA9MAN,37000
a0YRg00000OhGWmMAN,16600
a0YRg00000OhGWnMAN,20000
a0YRg00000OhGmvMAF,428940
a0YRg00000OhHz8MAF,434548
a0YRg00000OhI79MAF,37000
a0YRg00000OhJCrMAN,210630
a0YRg00000OhN6nMAF,37000
a0YRg00000OhNpxMAF,283607
a0YRg00000OhQ9ZMAV,110295.93
a0YRg00000OhQClMAN,36700
a0YRg00000OhQfmMAF,208090.87
a0YRg00000OhRFHMA3,37133.04
a0YRg00000OhTx3MAF,35000
a0YRg00000OhU8KMAV,151707
a0YRg00000Ok3EsMAJ,37000
a0YRg00000OkDUJMA3,82644.52
a0YRg00000OkJOQMA3,37000
a0YRg00000OkXsqMAF,37000
a0YRg00000OkbwQMAR,37000
a0YRg00000OnairMAB,114837
a0YRg00000OnfDwMAJ,119883.4
a0YRg00000OnfDxMAJ,3150
a0YRg00000OnhNnMAJ,137644.52
a0YRg00000Onn8NMAR,36530
a0YRg00000OnqNsMAJ,35000
a0YRg00000OnqniMAB,36530
a0YRg00000OnrS0MAJ,35000
a0YRg00000OntTnMAJ,34980
a0YRg00000Oo4SaMAJ,37000
a0YRg00000OoEGZMA3,19908
a0YRg00000OoHb3MAF,37000
a0YRg00000OqXmuMAF,29802.46
a0YRg00000OqZOvMAN,37000
a0YRg00000OqeRnMAJ,19687.5
a0YRg00000OqeegMAB,29802.46
a0YRg00000Oqf9LMAR,176300
a0YRg00000Oqfm4MAB,29802.46
a0YRg00000Oqgi6MAB,19687.5
a0YRg00000OqglMMAR,149012.3
a0YRg00000OqjeLMAR,19908
a0YRg00000OqkfHMAR,29802.46
a0YRg00000Oqkk8MAB,29802.46
a0YRg00000OqlTGMAZ,15000
a0YRg00000OqmAoMAJ,149012.3
a0YRg00000OqmApMAJ,62754.92
a0YRg00000OqmcDMAR,29802.46
a0YRg00000Oqv7hMAB,50000
a0YRg00000Oqxr5MAB,5571962.54
a0YRg00000OqzKzMAJ,2785981.27
a0YRg00000OqzPnMAJ,19908
a0YRg00000Or0lfMAB,5605652.4
a0YRg00000Or0lgMAB,2287828.17
a0YRg00000Or1bKMAR,862368
a0YRg00000Or1rOMAR,4378980.71
a0YRg00000OtlAAMAZ,116466
a0YRg00000OtnDaMAJ,345820
a0YRg00000OtpCHMAZ,487267.58
a0YRg00000OtpNSMAZ,345819.7
a0YRg00000OttajMAB,37000
a0YRg00000Otuv1MAB,69123.94
a0YRg00000Otw7CMAR,69123.94
a0YRg00000Ou2UPMAZ,69123.94
a0YRg00000Ou43BMAR,69124
a0YRg00000Ou4O9MAJ,69174
a0YRg00000Ou5NPMAZ,69134
a0YRg00000Ou85CMAR,36500
a0YRg00000OuAJpMAN,
a0YRg00000OwXU1MAN,179400
a0YRg00000OxSvKMAV,28972
a0YRg00000OxTY3MAN,28972
a0YRg00000OxapeMAB,28972
a0YRg00000OxbIgMAJ,28972
a0YRg00000Oxc6gMAB,28972
a0YRg00000OxcRdMAJ,37000
a0YRg00000OxcZiMAJ,28972
a0YRg00000Oxcg9MAB,205957.36
a0YRg00000OxcgAMAR,4877.51
a0YRg00000OxdItMAJ,28972
a0YRg00000OxdM5MAJ,144862.4
a0YRg00000OxdM6MAJ,28972.48
a0YRg00000OxdnVMAR,28972
a0YRg00000Oxdp7MAB,28972
a0YRg00000OxdqjMAB,28972
a0YRg00000OxdsLMAR,28972
a0YRg00000OyOg1MAF,10000
a0YRg00000OyRp9MAF,21000
a0YRg00000OyTFuMAN,45632
a0YRg00000OyUDaMAN,10000
a0YRg00000OyWgmMAF,10000
a0YRg00000OyYqdMAF,1426000
a0YRg00000OyZWZMA3,1546178
a0YRg00000OyZWaMAN,37000
a0YRg00000Oya9HMAR,1610178
a0YRg00000OycmAMAR,700000
a0YRg00000OyxCHMAZ,37000
a0YRg00000P1Tw6MAF,135955.26
a0YRg00000P1WYyMAN,97992.07
a0YRg00000P1cckMAB,337334.1
a0YRg00000P1eLBMAZ,36914.5
a0YRg00000P1eZhMAJ,334417.96
a0YRg00000P1fVlMAJ,34779.49
a0YRg00000P1hvpMAB,
a0YRg00000P1n3cMAB,69123.94
a0YRg00000P1uhlMAB,115447.52
a0YRg00000P1x4XMAR,29987
a0YRg00000P1x7kMAB,452090.5
a0YRg00000P1x7lMAB,21233.62
a0YRg00000P1ydHMAR,37000
a0YRg00000P22YnMAJ,63093.03
a0YRg00000P23JaMAJ,149902.58
a0YRg00000P24M5MAJ,179919
a0YRg00000P24vZMAR,29987
a0YRg00000P25RpMAJ,29987
a0YRg00000P26XdMAJ,37000
a0YRg00000P4bXKMAZ,36970
a0YRg00000P4g5YMAR,51843
a0YRg00000P4gdQMAR,37469
a0YRg00000P4hsnMAB,82609.8
a0YRg00000P4hsoMAB,118804.2
