Id,Name,Received_Amount__c
a0VRg000002AKAnMAO,RV-2,38410
a0VRg000002AKCPMA4,RV-3,39030
a0VRg000002AP8rMAG,RV-4,37000
a0VRg000002AqH7MAK,RV-5,123708
a0VRg000002AqIjMAK,RV-6,86112.5
a0VRg000002AsqnMAC,RV-7,37000
a0VRg000002AssPMAS,RV-8,48631
a0VRg000002At8bMAC,RV-12,36948
a0VRg000002AtQHMA0,RV-13,36948
a0VRg000002AtTVMA0,RV-14,36948
a0VRg000002AuuDMAS,RV-15,35000
a0VRg000002Av0fMAC,RV-16,525200
a0VRg000002BDvFMAW,RV-17,161499.4
a0VRg000002BMYjMAO,RV-18,37000
a0VRg000002BMaLMAW,RV-19,183031.4
a0VRg000002BNOLMA4,RV-20,40000
a0VRg000002BNPxMAO,RV-21,257221.12
a0VRg000002BO13MAG,RV-22,36600
a0VRg000002BO4HMAW,RV-24,437655
a0VRg000002BOCLMA4,RV-25,36600
a0VRg000002BODxMAO,RV-26,429411
a0VRg000002BONdMAO,RV-27,37000
a0VRg000002BOPFMA4,RV-28,81292
a0VRg000002BOYvMAO,RV-29,36600
a0VRg000002BOaXMAW,RV-30,408940
a0VRg000002BOc9MAG,RV-31,37000
a0VRg000002BOdlMAG,RV-32,173630
a0VRg000002BOfNMAW,RV-33,239514
a0VRg000002BOgzMAG,RV-34,36600
a0VRg000002BOibMAG,RV-35,417948
a0VRg000002BOp3MAG,RV-36,37000
a0VRg000002BOqfMAG,RV-37,352623.12
a0VRg000002BOttMAG,RV-38,37000
a0VRg000002BOvVMAW,RV-39,347966.6
a0VRg000002BP0LMAW,RV-40,37000
a0VRg000002BP3ZMAW,RV-41,246607
a0VRg000002BP8PMAW,RV-42,36700
a0VRg000002BPBdMAO,RV-43,171390.87
a0VRg000002BPDFMA4,RV-44,185000
a0VRg000002BPV0MAO,RV-47,116707
a0VRg000002BPYDMA4,RV-45,110295.93
a0VRg000002BPgHMAW,RV-46,35000
a0VRg000002BhzlMAC,RV-48,37000
a0VRg000002Bi1NMAS,RV-49,45644.52
a0VRg000002BkUbMAK,RV-50,37000
a0VRg000002BkWDMA0,RV-51,37000
a0VRg000002BkXpMAK,RV-52,37000
